City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Kruisfontein,ZA,2022-05-15 23:46:41,-34.0033,24.7314,54.72,69,0,5.26
128,Gizo,SB,2022-05-15 23:46:42,-8.103,156.8419,83.77,67,10,3.65
129,Darnah,LY,2022-05-15 23:46:42,32.767,22.6367,65.75,67,0,8.72
130,Yellowknife,CA,2022-05-15 23:46:43,62.456,-114.3525,52.32,40,75,12.66
131,Charters Towers,AU,2022-05-15 23:46:43,-20.1,146.2667,75.99,55,0,3.69
132,Inirida,CO,2022-05-15 23:46:44,3.8653,-67.9239,76.44,94,94,0.54
133,Nikolskoye,RU,2022-05-15 23:46:44,59.7035,30.7861,46.87,90,41,7.81
134,Torres,BR,2022-05-15 23:46:45,-29.3353,-49.7269,61.83,87,74,14.41
135,Nishihara,JP,2022-05-15 23:46:45,26.1842,127.7558,64.45,97,100,13.8
136,Espinosa,BR,2022-05-15 23:46:46,-14.9261,-42.8192,74.64,64,100,3.89
137,Constitucion,CL,2022-05-15 23:46:46,-35.3333,-72.4167,55.99,58,100,3.85
138,Port Alfred,ZA,2022-05-15 23:44:40,-33.5906,26.891,62.13,84,0,9.04
139,Whitecourt,CA,2022-05-15 23:47:47,54.1502,-115.6855,63.64,23,75,6.91
140,Torbay,CA,2022-05-15 23:47:47,47.6666,-52.7314,35.28,84,75,8.99
141,Provideniya,RU,2022-05-15 23:44:47,64.3833,-173.3,42.91,70,75,11.18
142,Katherine,AU,2022-05-15 23:47:48,-14.4667,132.2667,79.12,47,0,6.91
143,Saint Anthony,US,2022-05-15 23:44:36,45.0205,-93.218,73.29,26,20,18.41
144,Bacungan,PH,2022-05-15 23:47:48,9.9106,118.7022,80.65,89,40,2.3
145,Kodiak,US,2022-05-15 23:47:49,57.79,-152.4072,51.31,46,75,12.66
146,Havelock,US,2022-05-15 23:47:49,34.8791,-76.9013,76.98,83,0,9.22
147,Faanui,PF,2022-05-15 23:47:50,-16.4833,-151.75,80.02,70,67,4.45
148,Emerald,AU,2022-05-15 23:47:51,-23.5333,148.1667,77.34,77,0,8.93
149,Bethel,US,2022-05-15 23:47:51,41.3712,-73.414,72.43,68,63,4.74
150,Cervo,ES,2022-05-15 23:47:52,43.6702,-7.4101,64.96,68,83,7.38
151,Banda Aceh,ID,2022-05-15 23:47:52,5.5577,95.3222,81.05,80,98,11.52
152,Porto Walter,BR,2022-05-15 23:47:52,-8.2686,-72.7439,74.3,97,97,2.46
153,Urumqi,CN,2022-05-15 23:47:53,43.801,87.6005,59.95,67,75,11.18
154,Plouzane,FR,2022-05-15 23:47:53,48.3833,-4.6167,59.32,91,100,12.66
155,Sitka,US,2022-05-15 23:47:54,57.0531,-135.33,55.29,47,0,9.22
156,San Quintin,MX,2022-05-15 23:47:54,30.4833,-115.95,67.59,68,4,13.56
157,Srednekolymsk,RU,2022-05-15 23:47:55,67.45,153.6833,32.13,95,100,13.18
158,Carnarvon,AU,2022-05-15 23:47:55,-24.8667,113.6333,65.48,40,0,10.18
159,Axim,GH,2022-05-15 23:47:56,4.8699,-2.2405,78.87,88,29,4.99
160,Paamiut,GL,2022-05-15 23:47:56,61.994,-49.6678,32.92,78,9,12.88
161,Kavieng,PG,2022-05-15 23:47:57,-2.5744,150.7967,83.77,65,89,3.15
162,Rawson,AR,2022-05-15 23:47:57,-43.3002,-65.1023,50.86,69,50,12.82
163,Hualmay,PE,2022-05-15 23:47:59,-11.0964,-77.6139,63.77,83,63,7.67
164,Hailey,US,2022-05-15 23:48:00,43.5196,-114.3153,72.81,32,16,5.99
165,Sinnamary,GF,2022-05-15 23:48:00,5.3833,-52.95,78.62,91,100,10.38
166,Orange,US,2022-05-15 23:48:00,33.7,-117.7675,92.89,46,40,5.75
167,Nakamura,JP,2022-05-15 23:48:01,32.9833,132.9333,64.06,72,100,2.33
168,Kachug,RU,2022-05-15 23:48:01,53.9606,105.8817,57.15,37,77,1.48
169,Terrace,CA,2022-05-15 23:46:44,54.5163,-128.6035,55.31,66,100,3.44
170,Chapais,CA,2022-05-15 23:48:02,49.7834,-74.8492,58.78,89,100,6.29
171,Cherskiy,RU,2022-05-15 23:48:03,68.75,161.3,32.92,84,90,8.25
172,Lavrentiya,RU,2022-05-15 23:48:03,65.5833,-171.0,31.96,77,54,10.71
173,Matagami,CA,2022-05-15 23:48:03,49.7502,-77.6328,77.11,29,40,5.75
174,Vestmannaeyjar,IS,2022-05-15 23:48:04,63.4427,-20.2734,48.85,91,100,21.54
175,Port Hardy,CA,2022-05-15 23:48:04,50.6996,-127.4199,48.38,100,100,8.05
176,Cabinda,AO,2022-05-15 23:48:05,-5.55,12.2,77.18,91,77,4.52
177,Prevalje,SI,2022-05-15 23:48:05,46.5469,14.9208,61.18,91,47,1.99
178,Pasir Gudang,MY,2022-05-15 23:48:06,1.4584,103.8805,78.91,87,75,2.3
179,Fairbanks,US,2022-05-15 23:44:03,64.8378,-147.7164,51.22,49,100,4.0
